fid,NIC,CT,Circuito,kW INSTALA,kWp INSTAL,X1,Y1,TECH,DSSName,KVA,CURVE1,CURVE2,LV_GROUP,CARGAS_BT_,CARGAS_B_1
202,8231456,153431,VOLG101,0,8.745,19.4464,-70.65901,PV,,7.95,Irr.txt,TEMPPV.txt,0,325841,2151061
339,8768102,153406,VOLG101,0,20.08,19.44981,-70.65901,PV,,18.255,Irr.txt,TEMPPV.txt,0,325845,2151439
117,6327061,203712,VOLG101,5,6.305,19.45123,-70.65886,PV,,5.732,Irr.txt,TEMPPV.txt,0,325862,2151596
100,6229193,153431,VOLG101,0,14.4,19.44634,-70.65877,PV,,13.091,Irr.txt,TEMPPV.txt,0,325866,2151054
176,8115811,153432,VOLG101,0,11.76,19.44642,-70.65853,PV,,10.691,Irr.txt,TEMPPV.txt,0,325892,2151063
265,8470999,153432,VOLG101,0,10.23,19.4467,-70.65851,PV,,9.3,Irr.txt,TEMPPV.txt,0,325894,2151094
347,8795645,153415,VOLG101,0,10,19.44648,-70.65752,PV,,9.091,Irr.txt,TEMPPV.txt,0,325998,2151069
254,8431642,153411,VOLG101,0,8.08,19.44685,-70.65747,PV,,7.345,Irr.txt,TEMPPV.txt,0,326003,2151110
257,8442689,153417,VOLG101,15.99,14,19.44586,-70.65742,PV,,12.727,Irr.txt,TEMPPV.txt,0,326008,2151000
386,8969549,153409,VOLG101,0,8.745,19.44801,-70.65738,PV,,7.95,Irr.txt,TEMPPV.txt,0,326014,2151238
268,8491382,153409,VOLG101,0,6.63,19.44795,-70.65717,PV,,6.027,Irr.txt,TEMPPV.txt,0,326036,2151231
197,8199180,212357,VOLG101,0,10.54,19.45253,-70.65709,PV,,9.582,Irr.txt,TEMPPV.txt,0,326049,2151738
81,6136822,153413,VOLG101,0,15.18,19.44639,-70.657,PV,,13.8,Irr.txt,TEMPPV.txt,0,326052,2151058
296,8596090,153414,VOLG101,0,5,19.44595,-70.65685,PV,,4.545,Irr.txt,TEMPPV.txt,0,326067,2151009
295,8596062,153414,VOLG101,0,10,19.44615,-70.65676,PV,,9.091,Irr.txt,TEMPPV.txt,0,326077,2151031
309,8659501,153408,VOLG101,17,10.53,19.4492,-70.65666,PV,,9.573,Irr.txt,TEMPPV.txt,0,326091,2151369
114,6312768,144902,VOLG101,16,16.965,19.45101,-70.65574,PV,,15.423,Irr.txt,TEMPPV.txt,0,326189,2151568
274,8508480,144902,VOLG101,40,46.545,19.45107,-70.65572,PV,,42.314,Irr.txt,TEMPPV.txt,0,326192,2151575
57,6026810,152342,VOLG101,0,7.15,19.45155,-70.65563,PV,,6.5,Irr.txt,TEMPPV.txt,0,326202,2151628
90,6186885,169105,VOLG101,0,5.84,19.44385,-70.6554,PV,,5.309,Irr.txt,TEMPPV.txt,0,326218,2150776
280,8520510,144903,VOLG101,0,12.58,19.45079,-70.65518,PV,,11.436,Irr.txt,TEMPPV.txt,0,326248,2151544
132,6487320,152400,VOLG101,14.725,14,19.45293,-70.65507,PV,,12.727,Irr.txt,TEMPPV.txt,0,326262,2151780
273,8508369,144903,VOLG101,0,10.075,19.45115,-70.65497,PV,,9.159,Irr.txt,TEMPPV.txt,0,326271,2151583
330,8707191,153988,VOLG101,0,8.58,19.45146,-70.65496,PV,,7.8,Irr.txt,TEMPPV.txt,0,326272,2151618
271,8507398,153988,VOLG101,19,20.855,19.45129,-70.65492,PV,,18.959,Irr.txt,TEMPPV.txt,0,326276,2151599
387,8969822,153987,VOLG101,0,15.12,19.45212,-70.65485,PV,,13.745,Irr.txt,TEMPPV.txt,0,326284,2151690
328,8697514,152421,VOLG101,0,11.7,19.45159,-70.65482,PV,,10.636,Irr.txt,TEMPPV.txt,0,326287,2151632
143,6592583,172651,VOLG101,12,13.43,19.45287,-70.65389,PV,,12.209,Irr.txt,TEMPPV.txt,0,326386,2151772
141,6578155,224016,VOLG101,10,9.79,19.45443,-70.65337,PV,,8.9,Irr.txt,TEMPPV.txt,0,326442,2151945
38,5267274,212353,VOLG101,0,8.395,19.45256,-70.65324,PV,,7.632,Irr.txt,TEMPPV.txt,0,326454,2151737
47,5331890,149651,VOLG101,0,7.28,19.44302,-70.65305,PV,,6.618,Irr.txt,TEMPPV.txt,0,326463,2150681
392,8979056,164104,VOLG101,0,6.76,19.4508,-70.65299,PV,,6.145,Irr.txt,TEMPPV.txt,0,326478,2151542
349,8810149,153976,VOLG101,5,4.95,19.44179,-70.65279,PV,,4.5,Irr.txt,TEMPPV.txt,0,326489,2150545
142,6578182,224016,VOLG101,12,13.2,19.45421,-70.65289,PV,,12,Irr.txt,TEMPPV.txt,0,326492,2151920
59,6035146,152629,VOLG101,0,10.89,19.44279,-70.65253,PV,,9.9,Irr.txt,TEMPPV.txt,0,326518,2150655
151,6703440,224016,VOLG101,7.2,6,19.45435,-70.65262,PV,,5.455,Irr.txt,TEMPPV.txt,0,326521,2151935
251,8427548,164105,VOLG101,0,4.69,19.44375,-70.65251,PV,,4.264,Irr.txt,TEMPPV.txt,0,326521,2150762
323,8693937,164105,VOLG101,0,5.83,19.44375,-70.65251,PV,,5.3,Irr.txt,TEMPPV.txt,0,326521,2150762
